"","LandUse","date","ndvi_mean","Stot_per_LU","ndvi_mean_interp"
"838","Urbain",2015-04-18,NA,NA,0.585391808142088
"839","Urbain",2015-04-19,NA,NA,0.592164839782446
"840","Urbain",2015-04-20,NA,NA,0.598937871422804
"841","Urbain",2015-04-21,NA,NA,0.605710903063161
"842","Urbain",2015-04-22,NA,NA,0.612483934703519
"843","Urbain",2015-04-23,NA,NA,0.619256966343877
"844","Urbain",2015-04-24,0.626029997984235,1209849.278,0.626029997984235
"845","Urbain",2015-04-25,NA,NA,0.631735901996111
"846","Urbain",2015-04-26,NA,NA,0.637441806007988
"847","Urbain",2015-04-27,NA,NA,0.643147710019864
"848","Urbain",2015-04-28,NA,NA,0.648853614031741
"849","Urbain",2015-04-29,NA,NA,0.654559518043617
"850","Urbain",2015-04-30,NA,NA,0.660265422055494
"851","Urbain",2015-05-01,NA,NA,0.66597132606737
"852","Urbain",2015-05-02,NA,NA,0.671677230079247
"853","Urbain",2015-05-03,NA,NA,0.677383134091123
"854","Urbain",2015-05-04,NA,NA,0.683089038103
"855","Urbain",2015-05-05,NA,NA,0.688794942114876
"856","Urbain",2015-05-06,NA,NA,0.694500846126753
"857","Urbain",2015-05-07,NA,NA,0.700206750138629
"858","Urbain",2015-05-08,NA,NA,0.705912654150506
"859","Urbain",2015-05-09,NA,NA,0.711618558162382
"860","Urbain",2015-05-10,0.717324462174259,1209849.278,0.717324462174259
"861","Urbain",2015-05-11,NA,NA,0.714179691610103
"862","Urbain",2015-05-12,NA,NA,0.711034921045947
"863","Urbain",2015-05-13,NA,NA,0.707890150481791
"864","Urbain",2015-05-14,NA,NA,0.704745379917635
"865","Urbain",2015-05-15,NA,NA,0.701600609353479
"866","Urbain",2015-05-16,NA,NA,0.698455838789323
"867","Urbain",2015-05-17,NA,NA,0.695311068225167
"868","Urbain",2015-05-18,NA,NA,0.692166297661011
"869","Urbain",2015-05-19,NA,NA,0.689021527096855
"870","Urbain",2015-05-20,NA,NA,0.685876756532699
"871","Urbain",2015-05-21,NA,NA,0.682731985968543
"872","Urbain",2015-05-22,NA,NA,0.679587215404387
"873","Urbain",2015-05-23,NA,NA,0.676442444840232
"874","Urbain",2015-05-24,NA,NA,0.673297674276076
"875","Urbain",2015-05-25,NA,NA,0.67015290371192
"876","Urbain",2015-05-26,NA,NA,0.667008133147764
"877","Urbain",2015-05-27,NA,NA,0.663863362583608
"878","Urbain",2015-05-28,NA,NA,0.660718592019452
"879","Urbain",2015-05-29,NA,NA,0.657573821455296
"880","Urbain",2015-05-30,NA,NA,0.65442905089114
"881","Urbain",2015-05-31,NA,NA,0.651284280326984
"882","Urbain",2015-06-01,NA,NA,0.648139509762828
"883","Urbain",2015-06-02,NA,NA,0.644994739198672
"884","Urbain",2015-06-03,NA,NA,0.641849968634516
"885","Urbain",2015-06-04,0.63870519807036,1209849.278,0.63870519807036
"886","Urbain",2015-06-05,NA,NA,0.646830734984851
"887","Urbain",2015-06-06,NA,NA,0.654956271899341
